task_instance_id,task_type,display_name,display_name_with_criticality,criticality,product_line,original_task_id,team,scheduled_start,scheduled_end,duration_minutes,mechanics_required,slack_hours,slack_days,priority_score,shift,global_priority
Product B_2,Production,Product B Task 2,🔴 Product B Task 2 [CRITICAL],CRITICAL,Product B,2,Mechanic Team 1,2025-08-22 08:00:00,2025-08-22 09:00:00,60,2,0.0,0.0,44733.0,1st,15
Product A_2,Production,Product A Task 2,🔴 Product A Task 2 [CRITICAL],CRITICAL,Product A,2,Mechanic Team 1,2025-08-22 08:00:00,2025-08-22 09:00:00,60,2,0.0,0.0,44753.0,1st,16
QI_RW_401,Quality Inspection,Product E QI for Task RW_401,🟢 Product E QI for Task RW_401 [FLEXIBLE],FLEXIBLE,Product E,QI_RW_401,Quality Team 1,2025-08-22 08:15:00,2025-08-22 08:45:00,30,1,429.25,17.885416666666668,1519.0,1st,17
Product B_4,Production,Product B Task 4,🔴 Product B Task 4 [CRITICAL],CRITICAL,Product B,4,Mechanic Team 1,2025-08-22 09:00:00,2025-08-22 11:00:00,120,3,0.0,0.0,45021.0,1st,18
Product A_4,Production,Product A Task 4,🔴 Product A Task 4 [CRITICAL],CRITICAL,Product A,4,Mechanic Team 1,2025-08-22 09:00:00,2025-08-22 11:00:00,120,3,0.0,0.0,45041.0,1st,19
Product B_QI_104,Quality Inspection,Product B QI for Task 4,🔴 Product B QI for Task 4 [CRITICAL],CRITICAL,Product B,104,Quality Team 1,2025-08-22 11:00:00,2025-08-22 11:45:00,45,2,0.0,0.0,45020.0,1st,20
Product A_QI_104,Quality Inspection,Product A QI for Task 4,🔴 Product A QI for Task 4 [CRITICAL],CRITICAL,Product A,104,Quality Team 1,2025-08-22 11:00:00,2025-08-22 11:45:00,45,2,0.0,0.0,45040.0,1st,21
Product B_CC_602,Customer,Product B Task CC_602,🔴 Product B Task CC_602 [CRITICAL],CRITICAL,Product B,CC_602,Customer Team 1,2025-08-22 11:45:00,2025-08-22 12:30:00,45,1,0.0,0.0,45861.0,1st,22
Product A_CC_602,Customer,Product A Task CC_602,🔴 Product A Task CC_602 [CRITICAL],CRITICAL,Product A,CC_602,Customer Team 1,2025-08-22 11:45:00,2025-08-22 12:30:00,45,1,0.0,0.0,45881.0,1st,23
Product B_8,Production,Product B Task 8,🔴 Product B Task 8 [CRITICAL],CRITICAL,Product B,8,Mechanic Team 1,2025-08-22 12:30:00,2025-08-22 13:30:00,60,1,0.0,0.0,46083.0,1st,24
Product A_8,Production,Product A Task 8,🔴 Product A Task 8 [CRITICAL],CRITICAL,Product A,8,Mechanic Team 1,2025-08-22 12:30:00,2025-08-22 13:30:00,60,1,0.0,0.0,46103.0,1st,25
Product B_QI_108,Quality Inspection,Product B QI for Task 8,🔴 Product B QI for Task 8 [CRITICAL],CRITICAL,Product B,108,Quality Team 1,2025-08-22 13:30:00,2025-08-22 14:15:00,45,2,8.75,0.3645833333333333,46082.0,1st,26
Product A_QI_108,Quality Inspection,Product A QI for Task 8,🔴 Product A QI for Task 8 [CRITICAL],CRITICAL,Product A,108,Quality Team 1,2025-08-22 13:30:00,2025-08-22 14:15:00,45,2,8.75,0.3645833333333333,46102.0,1st,27
RW_403,Rework,Product D Rework RW_403,🔴 Product D Rework RW_403 [CRITICAL],CRITICAL,Product D,RW_403,Mechanic Team 2,2025-08-22 14:30:00,2025-08-22 16:00:00,90,2,0.0,0.0,1480.0,2nd,28
Product C_CC_601,Customer,Product C Task CC_601,🔴 Product C Task CC_601 [CRITICAL],CRITICAL,Product C,CC_601,Customer Team 2,2025-08-22 14:30:00,2025-08-22 15:15:00,45,1,0.0,0.0,44551.0,2nd,29
RW_410,Rework,Product A Rework RW_410,🔴 Product A Rework RW_410 [CRITICAL],CRITICAL,Product A,RW_410,Mechanic Team 2,2025-08-22 14:30:00,2025-08-22 16:10:00,100,2,0.08333333333333333,0.003472222222222222,1440.0,2nd,30
RW_408,Rework,Product C Rework RW_408,🔴 Product C Rework RW_408 [CRITICAL],CRITICAL,Product C,RW_408,Mechanic Team 2,2025-08-22 14:30:00,2025-08-22 15:10:00,40,1,0.08333333333333333,0.003472222222222222,1460.0,2nd,31
Product B_3,Production,Product B Task 3,🔴 Product B Task 3 [CRITICAL],CRITICAL,Product B,3,Mechanic Team 2,2025-08-22 14:30:00,2025-08-22 14:50:00,20,1,0.16666666666666666,0.006944444444444444,45941.0,2nd,32
Product A_3,Production,Product A Task 3,🔴 Product A Task 3 [CRITICAL],CRITICAL,Product A,3,Mechanic Team 2,2025-08-22 14:30:00,2025-08-22 14:50:00,20,1,0.16666666666666666,0.006944444444444444,45961.0,2nd,33
Product C_3,Production,Product C Task 3,🔴 Product C Task 3 [CRITICAL],CRITICAL,Product C,3,Mechanic Team 2,2025-08-22 14:30:00,2025-08-22 14:50:00,20,1,0.16666666666666666,0.006944444444444444,45981.0,2nd,34
Product D_CC_601,Customer,Product D Task CC_601,🟡 Product D Task CC_601 [BUFFER],BUFFER,Product D,CC_601,Customer Team 2,2025-08-22 14:30:00,2025-08-22 15:15:00,45,1,62.75,2.6145833333333335,44571.0,2nd,35
Product B_5,Production,Product B Task 5,🟡 Product B Task 5 [BUFFER],BUFFER,Product B,5,Mechanic Team 2,2025-08-22 15:00:00,2025-08-22 15:40:00,40,1,62.333333333333336,2.5972222222222223,46037.0,2nd,36
Product A_5,Production,Product A Task 5,🟡 Product A Task 5 [BUFFER],BUFFER,Product A,5,Mechanic Team 2,2025-08-22 15:00:00,2025-08-22 15:40:00,40,1,62.333333333333336,2.5972222222222223,46057.0,2nd,37
Product C_5,Production,Product C Task 5,🟡 Product C Task 5 [BUFFER],BUFFER,Product C,5,Mechanic Team 2,2025-08-22 15:00:00,2025-08-22 15:40:00,40,1,62.333333333333336,2.5972222222222223,46077.0,2nd,38
QI_RW_408,Quality Inspection,Product C QI for Task RW_408,🔴 Product C QI for Task RW_408 [CRITICAL],CRITICAL,Product C,QI_RW_408,Quality Team 2,2025-08-22 15:15:00,2025-08-22 15:45:00,30,1,0.0,0.0,1459.0,2nd,39
RW_407,Rework,Product C Rework RW_407,🔴 Product C Rework RW_407 [CRITICAL],CRITICAL,Product C,RW_407,Mechanic Team 2,2025-08-22 15:45:00,2025-08-22 16:35:00,50,1,0.16666666666666666,0.006944444444444444,1460.0,2nd,40
QI_RW_403,Quality Inspection,Product D QI for Task RW_403,🟢 Product D QI for Task RW_403 [FLEXIBLE],FLEXIBLE,Product D,QI_RW_403,Quality Team 2,2025-08-22 16:00:00,2025-08-22 16:30:00,30,1,646.75,26.947916666666668,1479.0,2nd,41
QI_RW_410,Quality Inspection,Product A QI for Task RW_410,🟢 Product A QI for Task RW_410 [FLEXIBLE],FLEXIBLE,Product A,QI_RW_410,Quality Team 2,2025-08-22 16:15:00,2025-08-22 16:45:00,30,1,333.75,13.90625,1439.0,2nd,42
QI_RW_407,Quality Inspection,Product C QI for Task RW_407,🟢 Product C QI for Task RW_407 [FLEXIBLE],FLEXIBLE,Product C,QI_RW_407,Quality Team 2,2025-08-22 16:45:00,2025-08-22 17:15:00,30,1,309.25,12.885416666666666,1459.0,2nd,43
Product B_9,Production,Product B Task 9,🔴 Product B Task 9 [CRITICAL],CRITICAL,Product B,9,Mechanic Team 3,2025-08-22 23:00:00,2025-08-22 23:50:00,50,1,0.16666666666666666,0.006944444444444444,47635.0,3rd,44
Product B_CC_604,Customer,Product B Task CC_604,🟡 Product B Task CC_604 [BUFFER],BUFFER,Product B,CC_604,Customer Team 3,2025-08-22 23:00:00,2025-08-22 23:45:00,45,1,54.25,2.2604166666666665,46611.0,3rd,45
Product A_CC_604,Customer,Product A Task CC_604,🟡 Product A Task CC_604 [BUFFER],BUFFER,Product A,CC_604,Customer Team 3,2025-08-22 23:00:00,2025-08-22 23:45:00,45,1,54.25,2.2604166666666665,46631.0,3rd,46
RW_406,Rework,Product C Rework RW_406,🟡 Product C Rework RW_406 [BUFFER],BUFFER,Product C,RW_406,Mechanic Team 3,2025-08-22 23:00:00,2025-08-23 01:00:00,120,3,70.0,2.9166666666666665,1460.0,3rd,47
Product B_6,Production,Product B Task 6,🟡 Product B Task 6 [BUFFER],BUFFER,Product B,6,Mechanic Team 3,2025-08-22 23:00:00,2025-08-23 00:30:00,90,2,70.5,2.9375,45102.0,3rd,48
RW_409,Rework,Product B Rework RW_409,🟡 Product B Rework RW_409 [BUFFER],BUFFER,Product B,RW_409,Mechanic Team 3,2025-08-22 23:00:00,2025-08-23 00:20:00,80,2,70.66666666666667,2.9444444444444446,1420.0,3rd,49
RW_405,Rework,Product D Rework RW_405,🟡 Product D Rework RW_405 [BUFFER],BUFFER,Product D,RW_405,Mechanic Team 3,2025-08-22 23:00:00,2025-08-23 00:15:00,75,2,70.75,2.9479166666666665,1480.0,3rd,50
Product B_18,Production,Product B Task 18,🟡 Product B Task 18 [BUFFER],BUFFER,Product B,18,Mechanic Team 3,2025-08-23 00:00:00,2025-08-23 02:00:00,120,1,93.0,3.875,47871.0,3rd,51
Product E_QI_101,Quality Inspection,Product E QI for Task 1,🔴 Product E QI for Task 1 [CRITICAL],CRITICAL,Product E,101,Quality Team 1,2025-08-25 06:00:00,2025-08-25 06:45:00,45,1,0.0,0.0,44238.0,1st,52
Product C_2,Production,Product C Task 2,🔴 Product C Task 2 [CRITICAL],CRITICAL,Product C,2,Mechanic Team 1,2025-08-25 06:00:00,2025-08-25 07:00:00,60,2,0.0,0.0,44773.0,1st,53
Product D_2,Production,Product D Task 2,🔴 Product D Task 2 [CRITICAL],CRITICAL,Product D,2,Mechanic Team 1,2025-08-25 06:00:00,2025-08-25 07:00:00,60,2,0.0,0.0,44793.0,1st,54
Product B_16,Production,Product B Task 16,🔴 Product B Task 16 [CRITICAL],CRITICAL,Product B,16,Mechanic Team 1,2025-08-25 06:00:00,2025-08-25 07:00:00,60,1,0.0,0.0,46833.0,1st,55
Product A_16,Production,Product A Task 16,🔴 Product A Task 16 [CRITICAL],CRITICAL,Product A,16,Mechanic Team 1,2025-08-25 06:00:00,2025-08-25 07:00:00,60,1,0.0,0.0,46853.0,1st,56
Product B_11,Production,Product B Task 11,🔴 Product B Task 11 [CRITICAL],CRITICAL,Product B,11,Mechanic Team 4,2025-08-25 06:00:00,2025-08-25 06:20:00,20,2,0.16666666666666666,0.006944444444444444,46441.0,1st,57
Product A_11,Production,Product A Task 11,🔴 Product A Task 11 [CRITICAL],CRITICAL,Product A,11,Mechanic Team 4,2025-08-25 06:00:00,2025-08-25 06:20:00,20,2,0.16666666666666666,0.006944444444444444,46461.0,1st,58
Product C_11,Production,Product C Task 11,🔴 Product C Task 11 [CRITICAL],CRITICAL,Product C,11,Mechanic Team 4,2025-08-25 06:00:00,2025-08-25 06:20:00,20,2,0.16666666666666666,0.006944444444444444,46481.0,1st,59
Product B_22,Production,Product B Task 22,🔴 Product B Task 22 [CRITICAL],CRITICAL,Product B,22,Mechanic Team 4,2025-08-25 06:30:00,2025-08-25 07:30:00,60,2,0.0,0.0,46533.0,1st,60
Product A_22,Production,Product A Task 22,🔴 Product A Task 22 [CRITICAL],CRITICAL,Product A,22,Mechanic Team 4,2025-08-25 06:30:00,2025-08-25 07:30:00,60,2,0.0,0.0,46553.0,1st,61
Product C_22,Production,Product C Task 22,🔴 Product C Task 22 [CRITICAL],CRITICAL,Product C,22,Mechanic Team 4,2025-08-25 06:30:00,2025-08-25 07:30:00,60,2,0.0,0.0,46573.0,1st,62
Product E_CC_601,Customer,Product E Task CC_601,🔴 Product E Task CC_601 [CRITICAL],CRITICAL,Product E,CC_601,Customer Team 1,2025-08-25 06:45:00,2025-08-25 07:30:00,45,1,7.0,0.2916666666666667,44611.0,1st,63
Product C_4,Production,Product C Task 4,🔴 Product C Task 4 [CRITICAL],CRITICAL,Product C,4,Mechanic Team 1,2025-08-25 07:00:00,2025-08-25 09:00:00,120,3,0.0,0.0,45061.0,1st,64
Product D_4,Production,Product D Task 4,🔴 Product D Task 4 [CRITICAL],CRITICAL,Product D,4,Mechanic Team 1,2025-08-25 07:00:00,2025-08-25 09:00:00,120,3,0.0,0.0,45081.0,1st,65
Product B_QI_116,Quality Inspection,Product B QI for Task 16,🔴 Product B QI for Task 16 [CRITICAL],CRITICAL,Product B,116,Quality Team 1,2025-08-25 07:00:00,2025-08-25 07:45:00,45,2,32.5,1.3541666666666667,46832.0,1st,66
Product A_QI_116,Quality Inspection,Product A QI for Task 16,🔴 Product A QI for Task 16 [CRITICAL],CRITICAL,Product A,116,Quality Team 1,2025-08-25 07:00:00,2025-08-25 07:45:00,45,2,32.5,1.3541666666666667,46852.0,1st,67
Product B_QI_122,Quality Inspection,Product B QI for Task 22,🔴 Product B QI for Task 22 [CRITICAL],CRITICAL,Product B,122,Quality Team 4,2025-08-25 07:30:00,2025-08-25 08:15:00,45,1,8.25,0.34375,46532.0,1st,68
Product A_QI_122,Quality Inspection,Product A QI for Task 22,🔴 Product A QI for Task 22 [CRITICAL],CRITICAL,Product A,122,Quality Team 4,2025-08-25 07:30:00,2025-08-25 08:15:00,45,1,8.25,0.34375,46552.0,1st,69
Product C_QI_122,Quality Inspection,Product C QI for Task 22,🔴 Product C QI for Task 22 [CRITICAL],CRITICAL,Product C,122,Quality Team 4,2025-08-25 07:30:00,2025-08-25 08:15:00,45,1,8.25,0.34375,46572.0,1st,70
Product C_QI_104,Quality Inspection,Product C QI for Task 4,🔴 Product C QI for Task 4 [CRITICAL],CRITICAL,Product C,104,Quality Team 1,2025-08-25 09:00:00,2025-08-25 09:45:00,45,2,0.0,0.0,45060.0,1st,71
Product D_QI_104,Quality Inspection,Product D QI for Task 4,🔴 Product D QI for Task 4 [CRITICAL],CRITICAL,Product D,104,Quality Team 1,2025-08-25 09:00:00,2025-08-25 09:45:00,45,2,0.0,0.0,45080.0,1st,72
Product C_CC_602,Customer,Product C Task CC_602,🔴 Product C Task CC_602 [CRITICAL],CRITICAL,Product C,CC_602,Customer Team 1,2025-08-25 09:45:00,2025-08-25 10:30:00,45,1,0.0,0.0,45901.0,1st,73
Product D_CC_602,Customer,Product D Task CC_602,🔴 Product D Task CC_602 [CRITICAL],CRITICAL,Product D,CC_602,Customer Team 1,2025-08-25 09:45:00,2025-08-25 10:30:00,45,1,0.0,0.0,45921.0,1st,74
Product C_8,Production,Product C Task 8,🔴 Product C Task 8 [CRITICAL],CRITICAL,Product C,8,Mechanic Team 1,2025-08-25 10:30:00,2025-08-25 11:30:00,60,1,0.0,0.0,46123.0,1st,75
Product D_8,Production,Product D Task 8,🔴 Product D Task 8 [CRITICAL],CRITICAL,Product D,8,Mechanic Team 1,2025-08-25 10:30:00,2025-08-25 11:30:00,60,1,0.0,0.0,46143.0,1st,76
Product C_QI_108,Quality Inspection,Product C QI for Task 8,🔴 Product C QI for Task 8 [CRITICAL],CRITICAL,Product C,108,Quality Team 1,2025-08-25 11:30:00,2025-08-25 12:15:00,45,2,0.0,0.0,46122.0,1st,77
Product D_QI_108,Quality Inspection,Product D QI for Task 8,🔴 Product D QI for Task 8 [CRITICAL],CRITICAL,Product D,108,Quality Team 1,2025-08-25 11:30:00,2025-08-25 12:15:00,45,2,0.0,0.0,46142.0,1st,78
Product C_CC_604,Customer,Product C Task CC_604,🔴 Product C Task CC_604 [CRITICAL],CRITICAL,Product C,CC_604,Customer Team 1,2025-08-25 12:15:00,2025-08-25 13:00:00,45,1,0.0,0.0,46651.0,1st,79
Product D_CC_604,Customer,Product D Task CC_604,🔴 Product D Task CC_604 [CRITICAL],CRITICAL,Product D,CC_604,Customer Team 1,2025-08-25 12:15:00,2025-08-25 13:00:00,45,1,0.0,0.0,46671.0,1st,80
Product C_16,Production,Product C Task 16,🔴 Product C Task 16 [CRITICAL],CRITICAL,Product C,16,Mechanic Team 1,2025-08-25 13:00:00,2025-08-25 14:00:00,60,1,16.0,0.6666666666666666,46873.0,1st,81
Product D_16,Production,Product D Task 16,🔴 Product D Task 16 [CRITICAL],CRITICAL,Product D,16,Mechanic Team 1,2025-08-25 13:00:00,2025-08-25 14:00:00,60,1,16.0,0.6666666666666666,46893.0,1st,82
Product D_3,Production,Product D Task 3,🔴 Product D Task 3 [CRITICAL],CRITICAL,Product D,3,Mechanic Team 2,2025-08-25 14:30:00,2025-08-25 14:50:00,20,1,0.0,0.0,46001.0,2nd,83
Product B_7,Production,Product B Task 7,🔴 Product B Task 7 [CRITICAL],CRITICAL,Product B,7,Mechanic Team 2,2025-08-25 14:30:00,2025-08-25 15:00:00,30,1,0.0,0.0,46464.0,2nd,84
Product A_7,Production,Product A Task 7,🔴 Product A Task 7 [CRITICAL],CRITICAL,Product A,7,Mechanic Team 2,2025-08-25 14:30:00,2025-08-25 15:00:00,30,1,0.0,0.0,46484.0,2nd,85
Product C_7,Production,Product C Task 7,🔴 Product C Task 7 [CRITICAL],CRITICAL,Product C,7,Mechanic Team 2,2025-08-25 14:30:00,2025-08-25 15:00:00,30,1,0.0,0.0,46504.0,2nd,86
Product D_7,Production,Product D Task 7,🔴 Product D Task 7 [CRITICAL],CRITICAL,Product D,7,Mechanic Team 2,2025-08-25 14:30:00,2025-08-25 15:00:00,30,1,0.0,0.0,46524.0,2nd,87
Product B_23,Production,Product B Task 23,🔴 Product B Task 23 [CRITICAL],CRITICAL,Product B,23,Mechanic Team 5,2025-08-25 14:30:00,2025-08-25 15:00:00,30,1,0.0,0.0,47214.0,2nd,88
Product A_23,Production,Product A Task 23,🔴 Product A Task 23 [CRITICAL],CRITICAL,Product A,23,Mechanic Team 5,2025-08-25 14:30:00,2025-08-25 15:00:00,30,1,0.0,0.0,47234.0,2nd,89
Product C_23,Production,Product C Task 23,🔴 Product C Task 23 [CRITICAL],CRITICAL,Product C,23,Mechanic Team 5,2025-08-25 14:30:00,2025-08-25 15:00:00,30,1,0.0,0.0,47254.0,2nd,90
Product E_3,Production,Product E Task 3,🔴 Product E Task 3 [CRITICAL],CRITICAL,Product E,3,Mechanic Team 2,2025-08-25 14:30:00,2025-08-25 14:50:00,20,1,23.666666666666668,0.9861111111111112,46041.0,2nd,91
Product B_17,Production,Product B Task 17,🔴 Product B Task 17 [CRITICAL],CRITICAL,Product B,17,Mechanic Team 5,2025-08-25 14:30:00,2025-08-25 15:00:00,30,1,24.25,1.0104166666666667,48264.0,2nd,92
Product A_17,Production,Product A Task 17,🔴 Product A Task 17 [CRITICAL],CRITICAL,Product A,17,Mechanic Team 5,2025-08-25 14:30:00,2025-08-25 15:00:00,30,1,24.25,1.0104166666666667,48284.0,2nd,93
Product C_17,Production,Product C Task 17,🟡 Product C Task 17 [BUFFER],BUFFER,Product C,17,Mechanic Team 5,2025-08-25 14:30:00,2025-08-25 15:00:00,30,1,71.5,2.9791666666666665,48304.0,2nd,94
Product B_14,Production,Product B Task 14,🔴 Product B Task 14 [CRITICAL],CRITICAL,Product B,14,Mechanic Team 2,2025-08-25 15:00:00,2025-08-25 16:30:00,90,1,0.0,0.0,46602.0,2nd,95
Product A_14,Production,Product A Task 14,🔴 Product A Task 14 [CRITICAL],CRITICAL,Product A,14,Mechanic Team 2,2025-08-25 15:00:00,2025-08-25 16:30:00,90,1,0.0,0.0,46622.0,2nd,96
Product C_14,Production,Product C Task 14,🔴 Product C Task 14 [CRITICAL],CRITICAL,Product C,14,Mechanic Team 2,2025-08-25 15:00:00,2025-08-25 16:30:00,90,1,0.0,0.0,46642.0,2nd,97
Product D_5,Production,Product D Task 5,🔴 Product D Task 5 [CRITICAL],CRITICAL,Product D,5,Mechanic Team 2,2025-08-25 15:00:00,2025-08-25 15:40:00,40,1,14.333333333333334,0.5972222222222222,46097.0,2nd,98
Product B_29,Production,Product B Task 29,🔴 Product B Task 29 [CRITICAL],CRITICAL,Product B,29,Mechanic Team 5,2025-08-25 15:00:00,2025-08-25 15:40:00,40,2,14.333333333333334,0.5972222222222222,47462.0,2nd,99
Product A_29,Production,Product A Task 29,🔴 Product A Task 29 [CRITICAL],CRITICAL,Product A,29,Mechanic Team 5,2025-08-25 15:00:00,2025-08-25 15:40:00,40,2,14.333333333333334,0.5972222222222222,47482.0,2nd,100
Product C_29,Production,Product C Task 29,🔴 Product C Task 29 [CRITICAL],CRITICAL,Product C,29,Mechanic Team 5,2025-08-25 15:00:00,2025-08-25 15:40:00,40,2,14.333333333333334,0.5972222222222222,47502.0,2nd,101
Product D_14,Production,Product D Task 14,🟢 Product D Task 14 [FLEXIBLE],FLEXIBLE,Product D,14,Mechanic Team 2,2025-08-25 15:00:00,2025-08-25 16:30:00,90,1,600.0,25.0,46662.0,2nd,102
Product B_28,Production,Product B Task 28,🔴 Product B Task 28 [CRITICAL],CRITICAL,Product B,28,Mechanic Team 2,2025-08-25 16:30:00,2025-08-25 18:00:00,90,1,0.0,0.0,47052.0,2nd,103
Product A_28,Production,Product A Task 28,🔴 Product A Task 28 [CRITICAL],CRITICAL,Product A,28,Mechanic Team 2,2025-08-25 16:30:00,2025-08-25 18:00:00,90,1,0.0,0.0,47072.0,2nd,104
Product C_28,Production,Product C Task 28,🔴 Product C Task 28 [CRITICAL],CRITICAL,Product C,28,Mechanic Team 2,2025-08-25 16:30:00,2025-08-25 18:00:00,90,1,20.5,0.8541666666666666,47092.0,2nd,105
Product B_QI_128,Quality Inspection,Product B QI for Task 28,🔴 Product B QI for Task 28 [CRITICAL],CRITICAL,Product B,128,Quality Team 2,2025-08-25 18:00:00,2025-08-25 18:45:00,45,2,19.75,0.8229166666666666,47051.0,2nd,106
Product A_QI_128,Quality Inspection,Product A QI for Task 28,🔴 Product A QI for Task 28 [CRITICAL],CRITICAL,Product A,128,Quality Team 2,2025-08-25 18:00:00,2025-08-25 18:45:00,45,2,28.25,1.1770833333333333,47071.0,2nd,107
QI_RW_405,Quality Inspection,Product D QI for Task RW_405,🔴 Product D QI for Task RW_405 [CRITICAL],CRITICAL,Product D,QI_RW_405,Quality Team 3,2025-08-25 23:00:00,2025-08-25 23:30:00,30,1,0.0,0.0,1479.0,3rd,108
Product B_QI_106,Quality Inspection,Product B QI for Task 6,🔴 Product B QI for Task 6 [CRITICAL],CRITICAL,Product B,106,Quality Team 3,2025-08-25 23:00:00,2025-08-25 23:45:00,45,1,0.0,0.0,45101.0,3rd,109
Product A_6,Production,Product A Task 6,🔴 Product A Task 6 [CRITICAL],CRITICAL,Product A,6,Mechanic Team 3,2025-08-25 23:00:00,2025-08-26 00:30:00,90,2,0.0,0.0,45122.0,3rd,110
Product C_6,Production,Product C Task 6,🔴 Product C Task 6 [CRITICAL],CRITICAL,Product C,6,Mechanic Team 3,2025-08-25 23:00:00,2025-08-26 00:30:00,90,2,0.0,0.0,45142.0,3rd,111
Product D_6,Production,Product D Task 6,🔴 Product D Task 6 [CRITICAL],CRITICAL,Product D,6,Mechanic Team 3,2025-08-25 23:00:00,2025-08-26 00:30:00,90,2,0.0,0.0,45162.0,3rd,112
QI_RW_406,Quality Inspection,Product C QI for Task RW_406,🟡 Product C QI for Task RW_406 [BUFFER],BUFFER,Product C,QI_RW_406,Quality Team 3,2025-08-25 23:00:00,2025-08-25 23:30:00,30,1,71.5,2.9791666666666665,1459.0,3rd,113
QI_RW_409,Quality Inspection,Product B QI for Task RW_409,🟡 Product B QI for Task RW_409 [BUFFER],BUFFER,Product B,QI_RW_409,Quality Team 3,2025-08-25 23:00:00,2025-08-25 23:30:00,30,1,95.5,3.9791666666666665,1419.0,3rd,114
RW_404,Rework,Product D Rework RW_404,🔴 Product D Rework RW_404 [CRITICAL],CRITICAL,Product D,RW_404,Mechanic Team 3,2025-08-25 23:30:00,2025-08-26 00:00:00,30,1,0.0,0.0,1480.0,3rd,115
Product B_CC_603,Customer,Product B Task CC_603,🔴 Product B Task CC_603 [CRITICAL],CRITICAL,Product B,CC_603,Customer Team 3,2025-08-25 23:45:00,2025-08-26 00:30:00,45,1,0.0,0.0,45786.0,3rd,116
QI_RW_404,Quality Inspection,Product D QI for Task RW_404,🟢 Product D QI for Task RW_404 [FLEXIBLE],FLEXIBLE,Product D,QI_RW_404,Quality Team 3,2025-08-26 00:00:00,2025-08-26 00:30:00,30,1,598.5,24.9375,1479.0,3rd,117
Product A_QI_106,Quality Inspection,Product A QI for Task 6,🔴 Product A QI for Task 6 [CRITICAL],CRITICAL,Product A,106,Quality Team 3,2025-08-26 00:30:00,2025-08-26 01:15:00,45,1,0.0,0.0,45121.0,3rd,118
